bias_voltage = 48.800 bias_dac = 2548 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665090 counts_off = 0 period_off = 0.100066 rate_off = 0 ratee_off = 0 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665090 counts_on = 3 period_on = 0.100569 rate_on = 29.8303 ratee_on = 17.2225 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665092 counts_off = 28 period_off = 0.100021 rate_off = 279.942 ratee_off = 52.9041 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665092 counts_on = 110 period_on = 0.100601 rate_on = 1093.43 ratee_on = 104.254 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665093 counts_off = 28 period_off = 0.100258 rate_off = 279.279 ratee_off = 52.7788 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665093 counts_on = 87 period_on = 0.100342 rate_on = 867.035 ratee_on = 92.9559 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665094 counts_off = 35 period_off = 0.100771 rate_off = 347.323 ratee_off = 58.7083 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665094 counts_on = 106 period_on = 0.100013 rate_on = 1059.86 ratee_on = 102.943 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665094 counts_off = 29 period_off = 0.100984 rate_off = 287.175 ratee_off = 53.327 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665095 counts_on = 95 period_on = 0.100091 rate_on = 949.138 ratee_on = 97.3795 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665095 counts_off = 31 period_off = 0.101021 rate_off = 306.866 ratee_off = 55.1148 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665096 counts_on = 95 period_on = 0.101083 rate_on = 939.826 ratee_on = 96.4241 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665096 counts_off = 30 period_off = 0.100925 rate_off = 297.249 ratee_off = 54.2701 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665097 counts_on = 118 period_on = 0.100209 rate_on = 1177.54 ratee_on = 108.401 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665097 counts_off = 31 period_off = 0.100592 rate_off = 308.176 ratee_off = 55.3501 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665098 counts_on = 134 period_on = 0.100463 rate_on = 1333.83 ratee_on = 115.225 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665098 counts_off = 32 period_off = 0.100607 rate_off = 318.07 ratee_off = 56.2274 temperature_off = -30.1  corrupted  temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665099 counts_off = 32 period_off = 0.100444 rate_off = 318.586 ratee_off = 56.3185 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665099 counts_on = 85 period_on = 0.100618 rate_on = 844.777 ratee_on = 91.629 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665100 counts_off = 29 period_off = 0.100741 rate_off = 287.867 ratee_off = 53.4556 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665100 counts_on = 108 period_on = 0.100148 rate_on = 1078.41 ratee_on = 103.77 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665101 counts_off = 32 period_off = 0.100045 rate_off = 319.857 ratee_off = 56.5432 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665101 counts_on = 91 period_on = 0.101017 rate_on = 900.841 ratee_on = 94.4338 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665102 counts_off = 39 period_off = 0.100683 rate_off = 387.355 ratee_off = 62.0264 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665102 counts_on = 100 period_on = 0.100047 rate_on = 999.529 ratee_on = 99.9529 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665103 counts_off = 46 period_off = 0.101035 rate_off = 455.288 ratee_off = 67.1286 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665103 counts_on = 107 period_on = 0.100586 rate_on = 1063.77 ratee_on = 102.838 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665104 counts_off = 53 period_off = 0.100753 rate_off = 526.04 ratee_off = 72.2572 temperature_off = -30.0  threshold_on = 12 timestamp_on = 1645665104 counts_on = 105 period_on = 0.100464 rate_on = 1045.15 ratee_on = 101.996 temperature_on = -30.0
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665105 counts_off = 34 period_off = 0.100339 rate_off = 338.851 ratee_off = 58.1125 temperature_off = -30.0  threshold_on = 12 timestamp_on = 1645665105 counts_on = 107 period_on = 0.100709 rate_on = 1062.47 ratee_on = 102.712 temperature_on = -30.0
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665106 counts_off = 27 period_off = 0.100413 rate_off = 268.888 ratee_off = 51.7476 temperature_off = -30.0  threshold_on = 12 timestamp_on = 1645665106 counts_on = 118 period_on = 0.10033 rate_on = 1176.12 ratee_on = 108.27 temperature_on = -30.0
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665106 counts_off = 23 period_off = 0.100742 rate_off = 228.305 ratee_off = 47.605 temperature_off = -30.0  threshold_on = 12 timestamp_on = 1645665107 counts_on = 122 period_on = 0.100096 rate_on = 1218.83 ratee_on = 110.348 temperature_on = -30.0
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665107 counts_off = 41 period_off = 0.100921 rate_off = 406.259 ratee_off = 63.447 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665108 counts_on = 102 period_on = 0.100414 rate_on = 1015.79 ratee_on = 100.578 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665108 counts_off = 30 period_off = 0.10047 rate_off = 298.597 ratee_off = 54.5162 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665109 counts_on = 99 period_on = 0.100897 rate_on = 981.2 ratee_on = 98.6143 temperature_on = -30.1
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665109 counts_off = 52 period_off = 0.100862 rate_off = 515.557 ratee_off = 71.4949 temperature_off = -30.1  threshold_on = 12 timestamp_on = 1645665110 counts_on = 118 period_on = 0.100334 rate_on = 1176.08 ratee_on = 108.267 temperature_on = -30.2
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665110 counts_off = 37 period_off = 0.100089 rate_off = 369.67 ratee_off = 60.7734 temperature_off = -30.2  threshold_on = 12 timestamp_on = 1645665111 counts_on = 143 period_on = 0.10052 rate_on = 1422.61 ratee_on = 118.965 temperature_on = -30.2
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665111 counts_off = 28 period_off = 0.10062 rate_off = 278.275 ratee_off = 52.5891 temperature_off = -30.2  threshold_on = 12 timestamp_on = 1645665112 counts_on = 107 period_on = 0.100887 rate_on = 1060.59 ratee_on = 102.531 temperature_on = -30.2
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665112 counts_off = 30 period_off = 0.100535 rate_off = 298.404 ratee_off = 54.481 temperature_off = -30.2  threshold_on = 12 timestamp_on = 1645665113 counts_on = 109 period_on = 0.100036 rate_on = 1089.6 ratee_on = 104.365 temperature_on = -30.2
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665113 counts_off = 35 period_off = 0.10086 rate_off = 347.014 ratee_off = 58.6561 temperature_off = -30.2  threshold_on = 12 timestamp_on = 1645665113 counts_on = 88 period_on = 0.100892 rate_on = 872.219 ratee_on = 92.9789 temperature_on = -30.2
bias_voltage = 49.300 bias_dac = 2574 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665114 counts_off = 32 period_off = 0.1008 rate_off = 317.46 ratee_off = 56.1195 temperature_off = -30.2  threshold_on = 12 timestamp_on = 1645665114 counts_on = 93 period_on = 0.1008 rate_on = 922.622 ratee_on = 95.6715 temperature_on = -30.2
bias_voltage = 49.800 bias_dac = 2600 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665116 counts_off = 74 period_off = 0.100315 rate_off = 737.674 ratee_off = 85.7528 temperature_off = -30.2  threshold_on = 12 timestamp_on = 1645665116 counts_on = 175 period_on = 0.100396 rate_on = 1743.1 ratee_on = 131.766 temperature_on = -30.2
bias_voltage = 49.800 bias_dac = 2600 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665117 counts_off = 56 period_off = 0.100211 rate_off = 558.82 ratee_off = 74.6755 temperature_off = -30.2  threshold_on = 12 timestamp_on = 1645665117 counts_on = 177 period_on = 0.101124 rate_on = 1750.32 ratee_on = 131.562 temperature_on = -30.2
bias_voltage = 49.800 bias_dac = 2600 pulse_voltage = 960  threshold_off = 12 timestamp_off = 1645665118 counts_off = 66 period_off = 0.100565 rate_off = 656.289 ratee_off = 80.7836 temperature_off = -30.2  threshold_on = 12 timestamp_on = 1645665118 counts_on = 213 period_on = 0.100521 rate_on = 2118.95 ratee_on = 145.188 temperature_on = -30.2
